Name;Platform;Year_of_Release;Genre;Publisher;Global_Sales;Critic_Score;Critic_Count;User_Score;User_Count;Developer;Rating
Half-Life;PC;1997;Shooter;Vivendi Games;4.12;96;24;9.1;3161;Valve Software;M
Half-Life 2;PC;2004;Shooter;Vivendi Games;2.37;96;81;9.1;8665;Valve Software;M
Grand Theft Auto V;PC;2015;Action;Take-Two Interactive;1.17;96;57;7.9;3756;Rockstar North;M
BioShock;PC;2007;Shooter;Take-Two Interactive;0.41;96;44;8.5;3606;Irrational Games, 2K Marin;M
The Orange Box;PC;2007;Shooter;Electronic Arts;0.14;96;34;9.3;1495;Valve Software;M
Portal 2;PC;2011;Shooter;Valve Software;0.76;95;52;8.8;5999;Valve Software;E10+
The Elder Scrolls V: Skyrim;PC;2011;Role-Playing;Bethesda Softworks;3.88;94;32;8.1;9073;Bethesda Game Studios;M
Diablo;PC;1996;Role-Playing;Activision;1.59;94;12;8.7;850;Blizzard Entertainment;M
BioShock Infinite;PC;2013;Shooter;Take-Two Interactive;0.66;94;68;8.5;7322;Irrational Games;M
Mass Effect 2;PC;2010;Role-Playing;Electronic Arts;0.39;94;55;8.8;3559;BioWare;M
The Elder Scrolls IV: Oblivion;PC;2006;Role-Playing;Take-Two Interactive;0.25;94;54;8.1;2454;Bethesda Softworks;M
Sid Meier's Civilization IV;PC;2005;Strategy;Take-Two Interactive;0.16;94;50;8.3;909;Firaxis Games;E10+
Grand Theft Auto: Vice City;PC;2003;Action;Take-Two Interactive;0.04;94;30;8.8;1520;Rockstar North;M
World of Warcraft;PC;2004;Role-Playing;Activision;6.29;93;57;7.3;2182;Blizzard Entertainment;T
StarCraft II: Wings of Liberty;PC;2010;Strategy;Activision;4.84;93;82;8.2;3052;Blizzard Entertainment;T
Grand Theft Auto: San Andreas;PC;2005;Action;Take-Two Interactive;0.97;93;47;8.9;1841;Rockstar North;M
The Witcher 3: Wild Hunt;PC;2015;Role-Playing;Namco Bandai Games;0.72;93;32;9.3;10665;CD Projekt Red Studio;M
Star Wars: Knights of the Old Republic;PC;2003;Role-Playing;LucasArts;0.14;93;33;9;1497;BioWare;T
Company of Heroes;PC;2006;Strategy;THQ;0.05;93;55;8.8;1128;Relic;M
Homeworld;PC;1998;Strategy;Vivendi Games;0.02;93;20;9;326;Relic;E
Unreal Tournament 2004;PC;2004;Shooter;Atari;0.02;93;48;8.9;537;Epic Games;M
Grand Theft Auto III;PC;2002;Action;Take-Two Interactive;0.01;93;20;8.4;805;DMA Design, Rockstar North;M
Call of Duty 4: Modern Warfare;PC;2007;Shooter;Activision;1.15;92;40;8.5;2360;Infinity Ward;M
Warcraft III: Reign of Chaos;PC;2002;Strategy;Vivendi Games;0.13;92;40;9.1;1023;Blizzard Entertainment;T
Rome: Total War;PC;2004;Strategy;Activision;0.1;92;58;9.1;1050;Creative Assembly;T
Age of Empires II: The Age of Kings;PC;1999;Strategy;Microsoft Game Studios;0.09;92;21;9;801;Ensemble Studios;T
The Sims;PC;2000;Simulation;Electronic Arts;0.05;92;38;7.9;451;Maxis;T
The Sims Deluxe;PC;2002;Simulation;Electronic Arts;0.04;92;6;8.2;77;Maxis;T
World of Warcraft: The Burning Crusade;PC;2007;Role-Playing;Activision;4.09;91;46;7.9;785;Blizzard Entertainment;T
World of Warcraft: Wrath of the Lich King;PC;2008;Role-Playing;Activision;1.32;91;47;7.5;930;Blizzard Entertainment;T
Fallout 3;PC;2008;Role-Playing;Bethesda Softworks;0.98;91;48;7.9;3450;Bethesda Game Studios;M
Crysis;PC;2007;Shooter;Electronic Arts;0.71;91;56;8;1970;Crytek;M
Overwatch;PC;2016;Shooter;Activision;0.53;91;62;6.8;4052;Blizzard Entertainment;T
Batman: Arkham City;PC;2011;Action;Warner Bros. Interactive Entertainment;0.53;91;27;8.6;1847;Rocksteady Studios;T
Dragon Age: Origins;PC;2009;Role-Playing;Electronic Arts;0.51;91;67;8.6;3542;BioWare;M
Batman: Arkham Asylum;PC;2009;Action;Eidos Interactive;0.32;91;29;8.7;1736;Rocksteady Studios;T
